image_path,labels
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0001.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0002.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0003.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0004.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0005.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0006.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0007.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0008.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0009.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0010.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0011.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0012.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0013.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0014.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0015.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0016.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0017.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0018.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0019.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0020.jpg,accordion
C:/personal_documents/CSE/CSE_github/SEM 6/DPA/archive/caltech-101\accordion\image_0021.jpg,accordion
