user_id,user_name,track_id,track_name,artist_name,popularity,genres
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,7c00kx5gwe115guhuv5zm7,Neon Code,DJ Ram Sampath,14,"trap, cloud rap"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,4kwwagca0dm6zgqz2wjp8j,Frozen Loop,Lil Yuvan,35,"classical, indian classical"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,bld9ghduv6op6r7novknfp,Electric Rhythm,MC Yuvan,90,"synthwave, retro, 80s"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,vnzjapjq71qpx2y0lq5d10,Frozen Sky,DJ Raftaar,28,"tamil, kollywood, tamil dance"
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,ngu18qzh8hoevu3m8rfg9q,Lonely Code,MC Darshan Raval,100,jazz rap
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,jx9o4jaknqsmwonbprdswd,Lonely Cross,S. Molchat Doma,15,"tamil, kollywood, tamil dance"
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,9ej4sdcuzf766bm2khh0nh,Golden Code,MC Omega Tribe,19,"phonk, drift phonk"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,vpqie0ut0opckg94qpinke,Lonely Code,S. Divine,84,"bollywood, hindi pop, desi"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,ja0noio6m4qmk2e0lmpnnl,Secret Memories,Young Ram Sampath,98,"k-pop, dance pop"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,l18l9c7n9rz7tfyoa85sd9,Golden Code,The Darshan Raval,89,"tamil, kollywood, tamil dance"
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,7xtssvop0ku1g04styfpi0,Midnight Edge,Young TV Girl,64,"rock, alternative"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,pexw1skpujg4f8hd1fkdqy,Lonely Motion,Young Darshan Raval,37,"bollywood, hindi pop, desi"
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,vslz63it7yhczfuvq9bnxm,Electric Motion,DJ Raftaar,80,"phonk, drift phonk"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,94ciedksdgad4jbisw9art,Secret Loop,MC SoulChef,83,"synthwave, retro, 80s"
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,k4agseexqyk471gxbhevy5,Neon Dreams,The Divine,58,"edm, electronic"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,qo0xfimyrngtb1n040afqr,Burning Edge,Lil Darshan Raval,56,jazz rap
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,ph9u3y13h72dxrx5n1wg61,Frozen Loop,DJ Molchat Doma,35,"edm, electronic"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,jnhjsdrkta0bbgmdixlln7,Electric Loop,Lil Omega Tribe,20,"post-punk, darkwave, cold wave"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,myky47lfa1mre6e5abyd8e,Golden Sky,The TV Girl,99,"k-pop, dance pop"
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,qj543xq2b48xpd4f722k1s,Lonely Rhythm,The TV Girl,98,"haryanvi, desi"
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,a63kskzv32g25nqf185kub,Lost Rhythm,DJ Yuvan,19,"hip hop, desi hip hop"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,gud38b4brbifrb2xc4fq94,Lonely Sky,The Yuvan,5,
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,tqucnfam0w3a123gb9938s,Frozen Dreams,MC Molchat Doma,63,jazz rap
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,f7g8t32hqomc5sfmkjwwih,Crimson Dreams,MC Darshan Raval,19,
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,nz15rys7sj7u7bn82zdfkb,Golden Sky,The Darshan Raval,77,"k-pop, dance pop"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,x4212aqkfrjn1qj0xkkoj1,Lost Voices,S. Molchat Doma,98,"tamil, kollywood, tamil dance"
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,62uhnubw9y4ocjh7tldqjh,Lonely Sky,Young TV Girl,63,"instrumental, chillhop, lo-fi"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,60v45o64ifp3gujhcszw7h,Frozen Rhythm,DJ Yuvan,6,"post-punk, darkwave, cold wave"
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,b904uwapm4loknwmyaratk,Neon Voices,S. SoulChef,84,"city pop, kayokyoku, j-pop"
vk06ud21bzhoaxf157oe2lpr2,RIAUHAS,9a4zjllxglwj21h9gxj2if,Frozen Code,Young TV Girl,62,"post-punk, darkwave, cold wave"
f5mnhxysyvoolpw64vqlrbbht,RJ Joshi,9fjpctur2tk3oo17pst5od,Burning Rhythm,Young Yuvan,66,"synthwave, retro, 80s"
